격자순번,격자100m,위도,경도,실제값,예측값,시계열예측값
387,다바812054,36.24609755,127.2913115,0,0,0.00065559
388,다바812055,36.2469991,127.2913091,0,0,0.863663
389,다바812056,36.24790065,127.2913067,0,0,0.00065559
390,다바812057,36.2488022,127.2913043,0,0,0.00065559
391,다바812058,36.24970375,127.2913019,0,0,0.00065559
392,다바812059,36.2506053,127.2912995,0,0,0.00065559
393,다바812060,36.25150686,127.2912971,0,0,0.8638959
394,다바812061,36.25240841,127.2912947,0,0,0.8638628
395,다바812062,36.25330996,127.2912923,0,0,0.85219026
396,다바812063,36.25421151,127.2912899,0,0,0.00065559
397,다바812064,36.25511306,127.2912875,0,0,0.00065559
398,다바812065,36.25601461,127.2912851,0,0,0.84093523
399,다바812066,36.25691616,127.2912827,0,0,0.003383783
400,다바812067,36.25781771,127.2912803,0,0,0.8654003
401,다바812068,36.25871925,127.2912779,0,0,0.8653839
402,다바812069,36.2596208,127.2912755,0,0,0.8633952
403,다바812070,36.26052235,127.2912731,0,0,0.85316515
404,다바812071,36.2614239,127.2912707,0,0,0.8569374
405,다바812072,36.26232545,127.2912683,0,0,0.8599877
406,다바813032,36.22626532,127.2924769,0,0,0.86459243
407,다바813033,36.22716688,127.2924745,0,0,0.8760228
408,다바813036,36.22987154,127.2924674,0,0,0.8661456
409,다바813037,36.23077309,127.292465,0,0,0.8653941
410,다바813038,36.23167465,127.2924626,0,0,0.8656801
411,다바813039,36.2325762,127.2924602,0,0,0.00065559
412,다바813040,36.23347775,127.2924579,0,0,0.00065559
413,다바813041,36.23437931,127.2924555,0,0,0.6761433
414,다바813042,36.23528086,127.2924531,0,0,0.8623647
415,다바813043,36.23618241,127.2924507,0,0,0.85707754
416,다바813044,36.23708397,127.2924483,0,0,0.8640636
417,다바813045,36.23798552,127.2924459,0,0,0.6803458
418,다바813046,36.23888707,127.2924436,0,0,0.8591594
419,다바813047,36.23978862,127.2924412,0,0,0.8615837
420,다바813048,36.24069018,127.2924388,0,0,0.8653993
421,다바813049,36.24159173,127.2924364,0,0,0.86554575
422,다바813050,36.24249328,127.292434,0,0,0.86492515
423,다바813051,36.24339483,127.2924316,0,0,0.8640575
424,다바813052,36.24429638,127.2924293,0,0,0.8608061
425,다바813053,36.24519793,127.2924269,0,0,0.8642905
426,다바813054,36.24609949,127.2924245,0,0,0.86707246
427,다바813055,36.24700104,127.2924221,0,0,0.00065559
428,다바813056,36.24790259,127.2924197,0,0,0.6893872
429,다바813057,36.24880414,127.2924173,0,0,0.00065559
430,다바813058,36.24970569,127.292415,0,0,0.00065559
431,다바813059,36.25060724,127.2924126,0,0,0.00065559
432,다바813060,36.25150879,127.2924102,0,0,0.00065559
433,다바813061,36.25241034,127.2924078,0,0,0.86315143
434,다바813062,36.25331189,127.2924054,0,0,0.85451746
435,다바813063,36.25421344,127.292403,0,0,0.8599945
436,다바813064,36.25511499,127.2924006,0,0,0.71019363
437,다바813065,36.25601654,127.2923983,0,0,0.00065559
438,다바813066,36.25691809,127.2923959,0,0,0.6918816
439,다바813067,36.25781964,127.2923935,0,0,0.86556315
440,다바813068,36.25872119,127.2923911,0,0,0.86516887
441,다바813069,36.25962274,127.2923887,0,0,0.8645838
442,다바813070,36.26052429,127.2923863,0,0,0.8642472
443,다바813071,36.26142584,127.292384,0,0,0.8393475
444,다바813072,36.26232739,127.2923816,0,0,0.8657249
445,다바813073,36.26322894,127.2923792,0,0,0.86486167
446,다바813074,36.26413049,127.2923768,0,0,0.8653012
447,다바814029,36.22356258,127.2935967,0,0,0.864608
448,다바814030,36.22446414,127.2935944,0,0,0.86408466
449,다바814031,36.22536569,127.293592,0,0,0.86551327
450,다바814032,36.22626725,127.2935896,0,0,0.87601453
451,다바814033,36.2271688,127.2935873,0,0,0.86508805
452,다바814034,36.22807036,127.2935849,0,0,0.864673
453,다바814035,36.22897191,127.2935825,0,0,0.8760272
454,다바814036,36.22987346,127.2935802,0,0,0.8658746
455,다바814037,36.23077502,127.2935778,0,0,0.8656028
456,다바814038,36.23167657,127.2935754,0,0,0.67694926
457,다바814039,36.23257813,127.2935731,0,0,0.86431915
458,다바814040,36.23347968,127.2935707,0,0,0.00065559
459,다바814041,36.23438123,127.2935683,0,0,0.6766938
460,다바814042,36.23528279,127.2935659,0,0,0.8646478
461,다바814043,36.23618434,127.2935636,0,0,0.7535819
462,다바814044,36.23708589,127.2935612,0,0,0.7844458
463,다바814045,36.23798744,127.2935588,0,0,0.00065559
464,다바814046,36.238889,127.2935565,0,0,0.00065559
465,다바814047,36.23979055,127.2935541,0,0,0.00065559
466,다바814048,36.2406921,127.2935517,0,0,0.8640385
467,다바814049,36.24159365,127.2935494,0,0,0.00065559
468,다바814050,36.24249521,127.293547,0,0,0.00065559
469,다바814051,36.24339676,127.2935446,0,0,0.00065559
470,다바814052,36.24429831,127.2935422,0,0,0.86249274
471,다바814053,36.24519986,127.2935399,0,0,0.00065559
472,다바814054,36.24610141,127.2935375,0,0,0.8641836
473,다바814055,36.24700296,127.2935351,0,0,0.8642694
474,다바814056,36.24790451,127.2935328,0,0,0.00065559
475,다바814057,36.24880607,127.2935304,0,0,0.86540073
476,다바814058,36.24970762,127.293528,0,0,0.00065559
477,다바814059,36.25060917,127.2935256,0,0,0.00065559
478,다바814060,36.25151072,127.2935233,0,0,0.00065559
479,다바814061,36.25241227,127.2935209,0,0,0.00065559
